Trial_id,Probe,Target,Ass_strength,Category,Wlevel,,,,Probe,,,,,,,,,Target,,,,,,,
96,office,plant,2.1666667,low,2,,,,,249.16,255.9,163.08,2.4,6,612,-1,,,72.74,74.1,55.38,1.87,5,617,-1
97,coasters,bowl,2.2500000,low,2,,,,,0,0,0,0,8,-1,-1,,,29.27,30.96,7.69,1.48,4,579,-1
98,meaning,idea,2.2500000,low,2,,,,,71.23,72.35,56.92,1.86,7,-1,243,,,272.57,261.99,407.69,2.44,4,220,-1
99,dirt,gravestone,2.2500000,low,2,,,,,19.89,20.72,9.23,1.32,4,475,-1,,,0.73,0.72,0.77,0.24,10,-1,-1
100,factory,cardboard,2.3333333,low,2,,,,,39.22,39.76,32.31,1.6,7,608,-1,,,10.78,11.27,4.62,1.07,9,-1,-1
101, shirt,lace,2.5000000,med,3,,,,,45.36,48.13,10,1.67,5,612,-1,,,11.06,11.69,3.08,1.08,4,560,-1
102,wood,antler,2.5603448,med,3,,,,,72.4,75.18,36.92,1.87,4,577,-1,,,0.39,0.42,0,0.14,6,-1,-1
103,dishwasher,colander,2.5833333,med,3,,,,,1.84,1.99,0,0.45,10,-1,-1,,,0.34,0.36,0,0.13,8,-1,-1
104,apron,serviette,2.6393678,med,3,,,,,7.32,7.83,0.77,0.92,5,541,-1,,,0,0,0,0,9,-1,-1
105,calculator,notebook,2.7500000,med,3,,,,,2.01,1.51,8.46,0.48,10,-1,-1,,,7.65,7.83,5.38,0.94,8,-1,-1
106,receipt,bag,2.8204023,med,3,,,,,6.82,6.39,12.31,0.89,7,432,-1,,,62.63,65.42,26.92,1.8,3,570,-1
107, classroom,easel,2.8333333,med,3,,,,,15.2,14.28,26.92,1.21,9,-1,-1,,,1.9,2.05,0,0.46,5,532,-1
108,painting,chalk,2.8405172,med,3,,,,,54.86,56.45,34.62,1.75,8,602,-1,,,9.72,9.94,6.92,1.03,5,603,-1
109,lager, lime,3.0416667,med,4,,,,,1.68,1.81,0,0.43,5,644,-1,,,8.49,8.92,3.08,0.98,4,563,-1
110,laminator,sellotape,3.0833333,med,4,,,,,0,0,0,0,9,-1,-1,,,0.45,0.48,0,0.16,9,-1,-1
111,funeral,candle,3.1451149,med,4,,,,,21.9,23.13,6.15,1.36,7,-1,-1,,,7.82,8.13,3.85,0.95,6,594,-1
112,bib, porridge,3.1458333,med,4,,,,,1.79,1.93,0,0.45,3,488,-1,,,5.31,5.3,5.38,0.8,8,-1,-1
113,lake,oar,3.2500000,med,4,,,,,40.11,43.01,3.08,1.61,4,616,-1,,,0.39,0.42,0,0.14,3,-1,-1
114,speech ,text,3.2500000,med,4,,,,,75.75,75.72,76.15,1.89,6,447,-1,,,28.32,26.57,50.77,1.47,4,437,-1
115,lobster, butter,3.3125000,med,4,,,,,2.01,2.17,0,0.48,7,630,-1,,,27.37,28.25,16.15,1.45,6,603,515
116, office,politician,3.3333333,med,4,,,,,249.16,255.9,163.08,2.4,6,612,-1,,,13.58,12.23,30.77,1.16,10,507,-1
117,judge,gavel,3.4166667,med,4,,,,,55.2,56.63,36.92,1.75,5,558,566,,,0.67,0.72,0,0.22,5,-1,-1
118,compost,daffodils,3.4166667,med,4,,,,,3.24,3.43,0.77,0.63,7,-1,-1,,,1.73,1.87,0,0.44,9,-1,-1
119,wall,clock,3.4375000,med,4,,,,,138.16,144.7,54.62,2.14,4,576,-1,,,35.59,37.17,15.38,1.56,5,640,-1
120,plane,hangar,3.5208333,med,4,,,,,45.53,46.63,31.54,1.67,5,556,394,,,2.18,2.35,0,0.5,6,-1,-1
121,python,tree,3.5208333,med,4,,,,,1.12,1.08,1.54,0.33,6,559,-1,,,72.23,77.23,8.46,1.86,4,644,-1
122,barn,rat,3.5625000,med,4,,,,,10.39,11.2,0,1.06,4,589,-1,,,9.27,9.34,8.46,1.01,3,588,-1
123,mirror,lipstick,3.6178161,med,4,,,,,41.06,43.13,14.62,1.62,6,627,-1,,,6.82,7.23,1.54,0.89,8,-1,-1
124,paper,word,3.6666667,med,4,,,,,174.75,175.6,163.85,2.24,5,590,595,,,220.67,213.07,317.69,2.35,4,-1,475
125,fire,forest,3.6666667,med,4,,,,,152.79,159.76,63.85,2.19,4,634,643,,,68.1,71.57,23.85,1.84,6,633,-1
126,flask,gin,3.6896552,med,4,,,,,4.25,4.4,2.31,0.72,5,614,-1,,,15.25,16.27,2.31,1.21,3,555,-1
127,ferry,engine,3.7083333,med,4,,,,,7.6,6.39,23.08,0.93,5,592,-1,,,44.02,44.34,40,1.65,6,595,-1
128,curb,streetlight,3.7500000,med,4,,,,,6.03,6.45,0.77,0.85,4,441,-1,,,0,0,0,0,11,-1,-1
129,forge,blacksmith,3.8089080,med,4,,,,,5.53,5.9,0.77,0.81,5,286,-1,,,1.68,1.81,0,0.43,10,575,-1
130,photo,profile,3.8333333,med,4,,,,,9.16,9.34,6.92,1.01,5,640,-1,,,10.5,11.02,3.85,1.06,7,572,-1
131,canvas,wall,3.8333333,med,4,,,,,15.47,16.51,2.31,1.22,6,-1,-1,,,138.16,144.7,54.62,2.14,4,576,-1
132,skill,science,3.9166667,med,4,,,,,38.32,39.52,23.08,1.59,5,305,336,,,91.17,83.25,192.31,1.96,7,423,-1
133,barber,shears,4.2126437,med,5,,,,,6.87,7.17,3.08,0.9,6,-1,-1,,,2.4,2.59,0,0.53,6,-1,-1
134,reed,marsh,4.3031609,med,5,,,,,5.47,5.78,1.54,0.81,4,520,-1,,,11.9,9.52,42.31,1.11,5,505,-1
135,tank,oxygen,4.3333333,med,5,,,,,20.34,21.63,3.85,1.33,4,572,-1,,,22.79,23.98,7.69,1.38,6,430,-1
136,robot,wires,4.3333333,med,5,,,,,3.74,3.98,0.77,0.68,5,-1,-1,,,9.72,10.24,3.08,1.03,5,-1,-1
137,shed,spade,4.3836207,med,5,,,,,23.18,23.67,16.92,1.38,4,602,-1,,,2.85,3.07,0,0.59,5,578,-1
138, language,voice,4.4166667,med,5,,,,,131.68,111.14,393.85,2.12,8,-1,405,,,232.35,244.94,71.54,2.37,5,489,-1
139,firework,lighter,4.4367816,med,5,,,,,1.62,1.75,0,0.42,8,-1,-1,,,15.03,15.18,13.08,1.2,7,458,-1
